by,descendants,id,kids,score,time,title,type,url,text
PaulHoule,11.0,43353898,"[43360114, 43354261, 43354930]",60,1741877065,Interprocedural Sparse Conditional Type Propagation,story,https://railsatscale.com/2025-02-24-interprocedural-sparse-conditional-type-propagation/,
memalign,34.0,43355521,"[43358913, 43355641, 43361307, 43357457, 43361076, 43357033, 43358783, 43357058, 43356203, 43356937]",169,1741887203,Honey Bunnies,story,https://mameson.com/experiment/glsl/fro_9/fro_9.html,
mrkochajkiewicz,2.0,43320505,"[43326702, 43361073]",8,1741614084,Show HN: I built a Figma plugin for quick data calculations,story,https://www.figma.com/community/plugin/1478090512871122209/countastic,"I lead design on a B2B SaaS product. It&#x27;s quite data-heavy in places.<p>Using placeholder content in data tables, checkout summaries and dashboards is a big no-no for us. It might seem like using random numbers saves time at first, but sooner or later there&#x27;s documentation to write and plenty of clarifications to be made.<p>It throws off customers during interviews – &quot;hey, that&#x27;s not really my sales target!&quot;.<p>It confuses stakeholders at review time– &quot;what&#x27;s this data point supposed to be?&quot;<p>I built a Figma calculator plugin for my team so that they spend less time doing mental maths. It calculates sums, differences averages and percentages, and makes it easy to use real-looking data in designs."
ehmorris,67.0,43355658,"[43356408, 43358674, 43356516, 43356278, 43358782, 43361580, 43361818, 43358455, 43360870, 43357782, 43357458, 43358522, 43356078, 43359159, 43357174, 43356543, 43360361, 43358179, 43357600, 43358549, 43358526, 43355895, 43359256, 43359060, 43357671, 43357010, 43356404, 43356106, 43356616, 43359496, 43356759, 43356192, 43357338, 43357832, 43357099, 43356333, 43358027, 43356299]",175,1741888083,"Show HN: Bubbles, a vanilla JavaScript web game",story,https://ehmorris.com/bubbles/,"Hey everybody, you might remember my older game, Lander! It made a big splash on Hacker News about 2 years ago. I&#x27;m still enjoying writing games with no dependencies. I&#x27;ve been working on Bubbles for about 6 months and would love to see your scores.<p>If you like it, you can build your own levels with my builder tool: <a href=""https:&#x2F;&#x2F;ehmorris.com&#x2F;bubbles&#x2F;builder&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;ehmorris.com&#x2F;bubbles&#x2F;builder&#x2F;</a> and share the levels here or via Github."
Kinchasa,3.0,43335956,"[43361808, 43361705, 43335957]",5,1741720090,"Fridgeditions Demo ""Children's Art the World Can Enjoy""",story,https://www.fridgeditions.com/,
Wowfunhappy,7.0,43316167,"[43358871, 43360037, 43358688, 43316174, 43358847]",44,1741571480,Will the Man Get Frog,story,https://www.lexaloffle.com/bbs/?pid=willthemangetfrog,
Tomte,36.0,43353551,"[43356510, 43356058, 43354808, 43360977, 43357587, 43354326, 43354545, 43355654, 43355088, 43354543, 43354194]",211,1741874961,Statistical Formulas for Programmers (2013),story,https://www.evanmiller.org/statistical-formulas-for-programmers.html,
PaulHoule,13.0,43357704,"[43358345, 43358476, 43361006, 43358911, 43359075, 43358576]",50,1741903649,Tiny changes in gene expression make big difference in eye size of fruit flies,story,https://phys.org/news/2025-02-tiny-gene-big-differences-eye.html,
amenghra,26.0,43357078,"[43358592, 43357952, 43360401, 43359191, 43357291, 43358530, 43359592, 43358919, 43357646, 43357880, 43358106]",60,1741898786,Functional Tests as a Tree of Continuations (2010),story,https://www.evanmiller.org/functional-tests-as-a-tree-of-continuations.html,
jamespropp,46.0,43358003,"[43360183, 43359220, 43358505, 43359023, 43358283, 43358238, 43358223, 43359803, 43358368, 43359329, 43358004, 43359171, 43358344]",72,1741906471,How Pi Almost Wasn't,story,https://mathenchant.wordpress.com/2025/03/13/how-pi-almost-wasnt/,
kreig,14.0,43355542,"[43356071, 43357988, 43358936, 43356120, 43358349, 43357825]",135,1741887334,History of Maths for Beginners,story,https://thonyc.wordpress.com/2025/03/13/history-of-maths-for-beginners/,
tb8424,163.0,43348379,"[43350209, 43349089, 43349164, 43353006, 43359750, 43351361, 43348764, 43349013, 43350476, 43357310, 43349798, 43353208, 43350695, 43358676, 43351487, 43350216, 43351285, 43350582, 43350135, 43351809, 43353593, 43349536, 43349509, 43354675, 43350718, 43350260, 43355990, 43352459, 43352935, 43355378, 43356606, 43348777, 43349972, 43355833, 43352836, 43356838]",404,1741818750,Practical UX for startups surviving without a designer,story,https://www.tibinotes.com/p/practical-ux-for-startups-surviving,
nanochess,51.0,43349214,"[43352303, 43350047, 43351315, 43350796, 43351810, 43359121, 43350243, 43351576, 43358075, 43357115, 43356356, 43350876]",254,1741825907,My teen years: The transputer operating system,story,https://nanochess.org/transputer_operating_system.html,
samplank2,207.0,43347306,"[43348479, 43349042, 43348004, 43349620, 43348735, 43348668, 43347793, 43348346, 43351323, 43352689, 43348977, 43355844, 43353737, 43348450, 43347963, 43349195, 43352971, 43348033, 43356698, 43355996, 43347927, 43356639, 43353474, 43352227, 43349720, 43350191, 43351129, 43356256, 43354659, 43349799, 43349970, 43355183, 43353034, 43347821, 43349085, 43356635, 43350687, 43351164, 43348528, 43348877, 43348229, 43350214, 43351911, 43347702, 43350467, 43347911, 43347577, 43349183, 43349069, 43348235, 43350300, 43349094, 43349806, 43349922, 43349829, 43355522, 43350737, 43355638, 43349364, 43347994, 43348027, 43347478, 43347941, 43347541, 43348072, 43347712, 43350129, 43348837, 43352787, 43355820, 43348883, 43348034, 43349716, 43349761, 43349282, 43349196, 43347622, 43348743, 43350202, 43348270, 43348222, 43352845, 43351116, 43349975, 43348847, 43348341, 43348286]",477,1741811032,"Show HN: Time Portal – Get dropped into history, guess where you landed",story,https://www.eggnog.ai/entertimeportal,"Hi HN! I love imagining the past, so I made Time Portal, a game where you are dropped into a historical event and see AI video footage from that moment. You have to guess where you are in time and on the map. It’s like GeoGuessr (and heavily inspired by it!) but for historical events.<p>The videos are all created with AI. It’s a pipeline of Flux (images), Kling (video), and mmaudio (audio). The videos aren’t always historically accurate to the last detail. They might incorporate elements of folklore or have details from popular beliefs about the way things looked rather than the latest academic research on how they looked.<p>I’m thinking a lot about how to make the game more interactive. One thing that makes Geoguessr so fun for me is that you can move infinitely and always find more details to help you pinpoint the location. I want Time Portal to have a similar quality. I have a few ideas to try soon that will hopefully make the game more interactive and infinite."
leotravis10,335.0,43347662,"[43347970, 43351064, 43347856, 43347814, 43350782, 43348206, 43348590, 43348547, 43348005, 43351494, 43348082, 43349802, 43355582, 43347815, 43351159, 43348353, 43358749, 43348744, 43348409, 43348400, 43352986, 43354969, 43351758, 43351197, 43348480, 43349847, 43349496, 43353708, 43348008, 43349333, 43348683, 43348923, 43352442, 43358369, 43350148, 43352862, 43349717, 43349597, 43349222, 43348125, 43352452, 43348176]",1541,1741813508,"Mark Klein, AT&T whistleblower who revealed NSA mass spying, has died",story,https://www.eff.org/deeplinks/2025/03/memoriam-mark-klein-att-whistleblower-about-nsa-mass-spying,
zhan_eg,1.0,43361500,[43361563],6,1741951116,"American B738 at Denver, engine vibrations, engine fire after landing",story,https://avherald.com/h?article=52537102&opt=0,
petethomas,65.0,43358872,"[43359061, 43359237, 43359233, 43360209, 43359638, 43359285]",103,1741916604,'Profit-Enhancing Middlemen' Fuel $200B Health-Care Chaos,story,https://www.bloomberg.com/news/features/2025-03-13/middlemen-in-us-health-care-are-driving-up-costs-frustrating-patients,
gavinuhma,6.0,43331973,"[43334200, 43340718]",30,1741697935,"Show HN: MCPGod: Fine-grained control over MCP clients, servers, and tools",story,https://github.com/mcpgod/cli,"Hey everyone,
I&#x27;ve wanted an easy way to control which mcp server tools are available to clients. So for example, I might want a gmail server to only expose the read tool (but not send, delete etc).<p>I figured if I create a cli for spawning mcp servers, I could intercept the stdin, stdout, stderr etc and modify what the clients see when they are making calls to list tools, resources, and prompts.<p>Well it worked!<p>In the initial version you can easily add a server to claude with a safe list of tools:<p>npx -y mcpgod add @modelcontextprotocol&#x2F;server-everything --client claude --tools=echo,add<p>Now when you load Claude Desktop, it will only discover the echo and add tools from that server. It&#x27;s a nice way to keep the agents in line :)<p>You can check it out here: <a href=""https:&#x2F;&#x2F;github.com&#x2F;mcpgod&#x2F;cli"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;mcpgod&#x2F;cli</a><p>It will also log everything that a client is doing to ~&#x2F;mcpgod&#x2F;logs.<p>Currently it only has support for claude, but it will be easy to add cursor, cline, windsurf, etc.<p>With the `tools` command you can list all of a servers tools, and even call a tool directly from the command line, which is pretty fun.<p>I was thinking it would be nice to create a UI for it to easily enable&#x2F;disable servers and tools for each client, inspect logs, view analytics, etc.<p>Thanks for reading!"
liquid99,44.0,43358999,"[43360319, 43359743, 43359090, 43359826, 43361825, 43359538, 43360979, 43359397, 43359989, 43359534, 43360305, 43360273, 43360292, 43360331, 43360031, 43359809, 43360053, 43359718, 43359325, 43360281, 43359528, 43360233]",81,1741918511,Show HN: A website that makes your text look cool anywhere online using Unicode,story,https://fontgenerator.cool/,
Retrogamingpap,48.0,43334731,"[43361470, 43354204, 43355328, 43354047, 43356430, 43354336, 43353894, 43353879]",97,1741713163,The masters of Commodore 64 games,story,https://spillhistorie.no/masters-of-c64-games/,
admp,1.0,43357112,[43359557],30,1741899048,BlenderMCP: Blender Model Context Protocol Integration,story,https://github.com/ahujasid/blender-mcp,
LexSiga,43.0,43361366,"[43361746, 43361721, 43361499, 43361710, 43361864, 43362113, 43361839, 43361657, 43361669, 43361815, 43361806]",106,1741949762,Migrating from AWS to a European Cloud – How We Cut Costs by 62%,story,https://www.hopsworks.ai/post/migrating-from-aws-to-a-european-cloud-how-we-cut-costs-by-62,
pabs3,74.0,43349426,"[43352373, 43350602, 43350765, 43351148, 43350199, 43360855, 43350194, 43351174, 43350213, 43349852, 43350537, 43350207, 43353591, 43357306, 43349777, 43352229, 43350342, 43356880, 43351238, 43353764, 43350033, 43350002, 43349816, 43351355, 43351307, 43354942, 43350060, 43353634, 43355561, 43350551, 43351550, 43350144]",256,1741828376,xlskubectl – a spreadsheet to control your Kubernetes cluster,story,https://github.com/learnk8s/xlskubectl,
FinnLobsien,18.0,43353570,"[43353616, 43354090, 43359274, 43354076, 43354990, 43356368, 43354094, 43354160]",71,1741875141,The long flight to teach an endangered ibis species to migrate,story,https://www.newyorker.com/magazine/2025/02/17/the-long-flight-to-teach-an-endangered-ibis-species-to-migrate,
ementally,0.0,43320190,,37,1741612073,Reversing Samsung's H-Arx Hypervisor Framework (Part 1),story,https://dayzerosec.com/blog/2025/03/08/reversing-samsungs-h-arx-hypervisor-part-1.html,
Tomte,100.0,43346816,"[43348166, 43348401, 43348103, 43347504, 43350261, 43349328, 43353946, 43350697, 43348060, 43347892, 43349166, 43352132, 43351263, 43348876, 43354535, 43347948]",387,1741807781,Iconography of the PuTTY tools,story,https://www.chiark.greenend.org.uk/~sgtatham/quasiblog/putty-icons/,
surprisetalk,60.0,43315029,"[43352757, 43357063, 43324732, 43353040, 43352008, 43352265, 43356499, 43358270, 43352041, 43352106, 43353792, 43353815, 43355475, 43357597, 43357376, 43351817, 43356429, 43357046]",155,1741562889,Dithering in Colour,story,https://obrhubr.org/dithering-in-colour,
tintinnabula,10.0,43355348,"[43356876, 43356808]",44,1741886087,"""Have Quotes About Salieri""",story,https://contingentmagazine.org/2025/01/10/have-quotes-about-salieri/,
keepamovin,252.0,43342361,"[43343306, 43343149, 43345000, 43342773, 43344070, 43342791, 43342869, 43351687, 43342949, 43342811, 43344839, 43343671, 43343434, 43343159, 43342412, 43346266, 43352933, 43344033, 43347664, 43344663, 43348031, 43351178, 43356011, 43346777, 43343353, 43345474, 43343477, 43349856, 43345024, 43343557, 43343102, 43347060, 43344248, 43343691, 43342874, 43346795, 43344815, 43344266, 43343085, 43344423, 43347412, 43346167, 43344966, 43343657, 43342881, 43344244]",579,1741781323,Peer-to-peer file transfers in the browser,story,https://github.com/kern/filepizza,
throw0101b,79.0,43309109,"[43354218, 43320123, 43357661, 43355587, 43354108, 43358076, 43309126, 43352718, 43355369, 43355057, 43360996, 43354102, 43354331, 43354591, 43353686, 43353825, 43353378]",93,1741528831,"Ruth Belville, the ""Greenwich Time Lady"" (2022)",story,https://eehe.org.uk/72742/ruth-belville-she-sold-time/,
shahinism,3.0,43330657,"[43359788, 43330658]",22,1741684834,Calendar.org,story,https://sourcery.zone/articles/20250311094031-calendar_org/,
benswerd,69.0,43344673,"[43345644, 43345425, 43347107, 43344919, 43345365, 43344954, 43347670, 43350620, 43346802, 43344918, 43344989, 43348284, 43354828, 43344731, 43344714, 43345554, 43348098, 43347886, 43344967, 43344957, 43345039]",284,1741795494,Reverse engineering OpenAI code execution to make it run C and JavaScript,story,https://twitter.com/benswerd/status/1899853533761200300,
gostsamo,0.0,43360421,[43361929],17,1741938411,Brave wants court to endorse scraping of News Corp content,story,https://www.theregister.com/2025/03/13/brave_news_corp_content/,
